text,true_emotion,predicted_emotion
Might just leave and aggravate bae,anger,anger
"Taking umbrage because Jimmy Carr claimed that Bilbo Baggins went to Mordor on 8 out of 10 cats does Countdown. Know your Baggins', mate.",anger,anger
Just seeing Alex revells face gets me angry,anger,anger
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming,anger,anger
"I miss my gran singing Rawhide, in her deep baritone growl.",anger,sadness
"Anger, resentment, and hatred are the destroyer of your fortune today.'",anger,anger
"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm #snap #bored",anger,joy
#oow16 #sting decent new song,anger,joy
"@TrevorHMoore @paget_old In Scotland, the right-wingers are the most rabid anti-nationalists. Socialists are mostly in favour.",anger,anger
Lol little things like that make me so angry x,anger,anger
@IllinoisLoyalty that Rutgers game was an abomination. An affront to God and man. We must never speak of it again.,anger,anger
Eat my ass' is no longer an insult,anger,anger
"(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.",anger,anger
"Ananya just grabbed a bible, opened it, started reading, and then said 'where do they talk about burning people?'",anger,fear
@TrussElise Obama must be fuming.. lol,anger,anger
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,anger,anger
For the first time in my madden career I just set up a farm account. Should make MOTM much easier,anger,joy
"Realest ever, relentless ever, inevitable that I win.",anger,joy
Hate when guys cant control their anger 🙃🙃,anger,anger
My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.,anger,anger
"They'll be yo friend, shake your hand, then kick in yo door thas the way the game go🤖🤐.",fear,fear
I know this is going to be one of those nights where it takes an Act of God to fall asleep. ,fear,fear
You want  bad service use #frontier they have #terrible service. Go to #AT&amp;T anybody is better. I am going to complain to better business,fear,anger
Why upping rooms makes a few apprehend leaving out charcoal ownership: UnZU,fear,fear
"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea ",fear,anger
"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea #horrible",fear,anger
An adviser to the #European #Union’s top #court said #Hamas and the #Tamil #Tigers should be taken off the EU’s #terror list.#lka,fear,anger
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,fear,anger
Northampton are awful 🙈,fear,anger
@LethalWeaponFOX This show SUCKS! #lame #awful you even used the same names?? lol SO SO bad! #Failed #notworth2minutes. Off air SOON,fear,anger
@joey_coops yes Hun! Avoid at all costs!! ,fear,fear
Having a terrific Tuesday? Crush it today with the Power of 4. Treat your internet like Pizza =D \n#PowerOf4,fear,joy
The moment you bring her to meet your best friend and you're nervous af! 😬😆  #thefriendtest,fear,fear
I have been seeing terrible terrible prescriptions this week. What's going on?,fear,fear
Staff on @ryainair FR1005. Asked for info and told to look online. You get what you pay for. #Ryanair @STN_Airport #Compensation #awful,fear,anger
Watching It Follows.  This is a super freaky movie.  #scary,fear,fear
Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. #nervous,fear,fear
@SAHARTHERAPPER I unfollowed without hesitation &lt;3,fear,joy
Bout ta get my @dontbreathe on up in here! @WarrenTheaters  #icantholdmybreaththatlong,fear,joy
"@soozclifford Sure have... Sydney are too tough, too quick and their 'team' pressure is too much for the Cats to handle. Motlop/Cowan #timid",fear,anger
incredible that anthony weiner has been caught chasing a busty milkmaid across a park at double speed while jaunty music plays,joy,joy
"@DocBellsSwan *peers down at you, eyes crinkling with mirth and affection* I do love ye so, my bonnie Belle.",joy,joy
Google caffeine-an sprightly lengthening into the corridor re seo: WgJ,joy,joy
"If any trump supporters and Hillary haters wanna chirp some weak minded, pandering liberals just tweet at @EmmyA2 @snickerfritz04",joy,anger
"Ready for that nice, breezy, calm, sunshine weather.🍂🍁 #Autumn",joy,joy
I love my family so much #lucky #grateful #smartassfamily #hilarious #love,joy,joy
@GigaFag @pipertownsend_ snapchat new would beg to differ ,joy,joy
@tomderivan73 😁...I'll just people watch and enjoy a rare show of optimism,joy,joy
@harrietemmett great minds think alike. ,joy,joy
@MichiganBromo Good optimism sir :),joy,joy
Metal keeps you young and spry and keeps your hair luxurious.\n\nYES\n\nSHUT UP AND LISTEN TO ME,joy,anger
Heather that was #hilarious! @MsHeatherBates @pattonoswalt @chrishansen #AnthonyWeiner #15gets20 #NYC,joy,joy
A #new day to #live and #smile. Hope all the #followers a nice #night or #day. :D,joy,joy
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day ,joy,joy
@chencouture LMAO Is it that 'so slutty' hater girl? That video was hilarious. 😂,joy,joy
A lifetime of laughter at the expense of the death of a bachelor,joy,joy
"@theclobra lol I thought maybe, couldn't decide if there was levity or not",joy,joy
"@diehimbeertonis She developed her 'forced smile'. I can force myself to describe it 'a little hearty maybe, sanki biraz':)",joy,joy
"TheNiceBot: IndyMN I thought the holidays could not get any more cheerful, and then I met you. #TheNiceBot #الخفجي",joy,joy
@Bluebelle89 @lsmith855 liking the optimism,joy,joy
@xOffWithMyHeadx They've officially said all the episodes left (so future 12 and despair 11 and 12) will be delayed.,sadness,sadness
“Dyslexia is the affliction of a frozen genius.”― Stephen Richards,sadness,sadness
Season 3 and Charlie is still a prick! #lost,sadness,anger
@abra @abra @abra what're you doing to my ears? To my soul?! #GoodMusic #melancholy,sadness,sadness
Rooney is 5 yards off the pace in a League Cup game against Northampton Town. Let that sink in for a moment. #MUFC,sadness,anger
amateur author Twitter might be the most depressing thing I've ever seen,sadness,sadness
A .500 season is all I'm looking for at this point. #depressing #royals,sadness,sadness
"We are about a little over an hour away! We will arrive soon, do not fret!",sadness,joy
@OHSOVICTORIOUS_ @FaZeAdapt We all seen it coming.. it's sad. But her Instagram comments on her pics are funny. Adapts fans blew it up 😂😂😂,sadness,sadness
"I'd rather laugh with the rarest genius, in beautiful alliance with his own being, where he kept his sadness. #melancholy",sadness,sadness
Public products: high downhearted price tag consumer survey sum and substance: OVth,sadness,sadness
"@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay #blues",sadness,joy
and for inconsolable Oxford academics - 'Brussels should just ignore the #Brexit vote and tell the UK it can't leave the EU....ever....wah',sadness,anger
watching this uni reveal is so depressing i miss stingrays :(,sadness,sadness
"Hello my dear friends, I will be back online this Friday night. I miss you! #sober #sobriety #recovery",sadness,joy
My life went from happy to unhappy..,sadness,sadness
Should of stayed in Dubai 😞,sadness,sadness
im thoroughly in love w zen and jumin and i dont think id even have the patience for either of them irl im old and weary,sadness,sadness
